iter	Passed	Remaining
758	1189	377
759	1190	376
760	1191	374
761	1192	372
762	1193	370
763	1194	369
764	1195	367
765	1196	365
766	1197	363
767	1198	362
768	1199	360
769	1200	358
770	1201	356
771	1202	355
772	1203	353
773	1204	351
774	1205	350
775	1206	348
776	1208	346
777	1209	345
778	1210	343
779	1211	341
780	1212	340
781	1213	338
782	1214	336
783	1215	334
784	1216	333
785	1217	331
786	1218	329
787	1219	327
788	1220	326
789	1220	324
790	1221	322
791	1222	321
792	1224	319
793	1225	317
794	1226	316
795	1227	314
796	1228	312
797	1230	311
798	1231	309
799	1232	308
800	1233	306
801	1234	304
802	1235	303
803	1236	301
804	1237	299
805	1238	298
806	1239	296
807	1241	294
808	1242	293
809	1243	291
810	1244	289
811	1245	288
812	1246	286
813	1247	284
814	1248	283
815	1249	281
816	1249	279
817	1250	278
818	1251	276
819	1252	275
820	1254	273
821	1255	271
822	1256	270
823	1257	268
824	1257	266
825	1258	265
826	1259	263
827	1260	261
828	1261	260
829	1262	258
830	1263	257
831	1264	255
832	1265	253
833	1266	252
834	1268	250
835	1269	249
836	1270	247
837	1272	245
838	1273	244
839	1274	242
840	1275	241
841	1277	239
842	1278	238
843	1279	236
844	1281	234
845	1282	233
846	1283	231
847	1284	230
848	1286	228
849	1287	227
850	1288	225
851	1289	223
852	1290	222
853	1291	220
854	1292	219
855	1294	217
856	1295	216
857	1296	214
858	1297	212
859	1298	211
860	1300	209
861	1301	208
862	1302	206
863	1303	205
864	1304	203
865	1305	201
866	1306	200
867	1307	198
868	1308	197
869	1309	195
870	1310	194
871	1311	192
872	1313	191
873	1314	189
874	1315	187
875	1316	186
876	1318	184
877	1319	183
878	1320	181
879	1321	180
880	1322	178
881	1323	177
882	1324	175
883	1325	173
884	1326	172
885	1327	170
886	1329	169
887	1330	167
888	1331	166
889	1332	164
890	1333	163
891	1334	161
892	1335	160
893	1336	158
894	1337	156
895	1338	155
896	1339	153
897	1340	152
898	1341	150
899	1342	149
900	1343	147
901	1344	146
902	1345	144
903	1346	143
904	1347	141
905	1348	139
906	1349	138
907	1350	136
908	1351	135
909	1352	133
910	1353	132
911	1354	130
912	1355	129
913	1356	127
914	1357	126
915	1358	124
916	1359	123
917	1360	121
918	1361	119
919	1361	118
920	1362	116
921	1364	115
922	1365	113
923	1365	112
924	1367	110
925	1368	109
926	1369	107
927	1370	106
928	1371	104
929	1372	103
930	1373	101
931	1374	100
932	1375	98
933	1377	97
934	1378	95
935	1379	94
936	1380	92
937	1381	91
938	1382	89
939	1384	88
940	1385	86
941	1386	85
942	1387	83
943	1388	82
944	1389	80
945	1390	79
946	1391	77
947	1393	76
948	1394	74
949	1395	73
950	1396	71
951	1397	70
952	1398	68
953	1399	67
954	1400	65
955	1401	64
956	1402	63
957	1403	61
958	1404	60
959	1406	58
960	1408	57
961	1409	55
962	1411	54
963	1412	52
964	1413	51
965	1414	49
966	1415	48
967	1416	46
968	1417	45
969	1418	43
970	1420	42
971	1421	40
972	1422	39
973	1423	37
974	1424	36
975	1425	35
976	1426	33
977	1427	32
978	1428	30
979	1429	29
980	1430	27
981	1431	26
982	1433	24
983	1434	23
984	1435	21
985	1436	20
986	1437	18
987	1438	17
988	1439	16
989	1440	14
990	1441	13
991	1443	11
992	1443	10
993	1445	8
994	1446	7
995	1447	5
996	1448	4
997	1449	2
998	1450	1
999	1451	0
